org_name,count
"UNIVERSITY OF PITTSBURGH, THE",4965
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,2554
JOHNS HOPKINS UNIVERSITY,2399
UNIVERSITY OF PENNSYLVANIA,2182
RESEARCH FOUNDATION OF STATE UNIV OF NEW YORK (SUNY),1841
UNIVERSITY OF WASHINGTON,1721
VANDERBILT UNIVERSITY MEDICAL CENTER,1639
Duke University,1425
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,1406
EMORY UNIVERSITY,1375
UNIVERSITY OF MIAMI,1319
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",1297
THE LELAND STANFORD JUNIOR UNIVERSITY,1254
TRUSTEES OF INDIANA UNIVERSITY,1227
"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF",1185
UNIVERSITY OF MASSACHUSETTS,1159
OREGON HEALTH & SCIENCE UNIVERSITY,1086
"Massachusetts General Hospital, The",1052
VANDERBILT UNIVERSITY,1021
YALE UNIVERSITY,1010
UNIVERSITY OF CHICAGO,956
UNIVERSITY OF WISCONSIN SYSTEM/BOARD OF REGENTS,937
UNIVERSITY OF FLORIDA,930
UNIVERSITY OF SOUTHERN CALIFORNIA,847
OHIO STATE UNIVERSITY,766
"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE",751
CALIFORNIA INSTITUTE OF TECHNOLOGY - JPL,739
CASE WESTERN RESERVE UNIVERSITY,733
UNIVERSITY OF TEXAS HEALTH SCIENCE CTR AT SAN ANTONIO,726
TULANE UNIVERSITY OF LOUISIANA,710
UNIVERSITY OF MINNESOTA,700
BRIGHAM & WOMEN`S HOSPITAL,672
NEW YORK UNIVERSITY MEDICAL CENTER,670
UNIVERSITY OF UTAH,665
"UNIV OF TEXAS SYS CANCER CTR, M D ANDERSON HOSP/TUM INS",613
ALBERT EINSTEIN COLLEGE OF MEDICINE,585
STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SE,552
UNIVERSITY OF CALIFORNIA-SAN DIEGO,530
UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CTR DALLAS,524
UNIVERSITY OF ALABAMA AT BIRMINGHAM,517
MICHIGAN STATE UNIVERSITY,505
"UNIVERSITY OF TEXAS, MEDICAL BRANCH AT GALVESTON",499
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,498
"UNIVERSITY OF CALIFORNIA, IRVINE",444
UNIVERSITY OF MARYLAND BALTIMORE PROFESSIONAL SCHOOLS,438
UNIVERSITY OF ARIZONA,411
TEXAS WORKFORCE COMMISSION,407
DANA-FARBER CANCER INSTITUTE,406
MN ST DEPARTMENT OF HEALTH,359
PURDUE UNIVERSITY,343
UNIVERSITY OF MARYLAND,340
UNIVERSITY OF ARKANSAS SYSTEM,329
OH ST DEPARTMENT OF PUBLIC HEALTH,318
UNIVERSITY OF KANSAS MEDICAL CENTER RESEARCH INSTITUTE,316
UNIVERSITY OF TEXAS AT AUSTIN,314
FAMILY HEALTH INTERNATIONAL,310
TUFTS UNIVERSITY,307
FRED HUTCHINSON CANCER CENTER,301
VIRGINIA COMMONWEALTH UNIVERSITY,300
MEDICAL UNIVERSITY OF SOUTH CAROLINA THE,288
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,280
WAKE FOREST UNIVERSITY HEALTH SCIENCES,277
CHILDREN`S HOSPITAL MEDICAL CENTER,276
SCRIPPS RESEARCH INSTITUTE,274
ARKANSAS DEPARTMENT OF HEALTH,271
CWRU-CLEVELAND CLINIC LERNER COLLEGE,263
"MEDICAL COLLEGE OF WISCONSIN, INC",255
DEPARTAMENTO DE DESARROLLO ECONOMICO Y COMERCIO,255
GEORGE WASHINGTON UNIVERSITY,253
TX DEPT OF STATE HEALTH SERVICES,246
UNIVERSITY OF MISSOURI SYSTEM,241
CALIFORNIA INSTITUTE OF TECHNOLOGY,238
"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",229
"HUMAN SERVICES, GEORGIA DEPARTMENT OF",228
UNIVERSITY OF CINCINNATI,220
SAN DIEGO STATE UNIVERSITY FOUNDATION,219
WASHINGTON STATE UNIVERSITY,215
"HEALTH SERVICES, WISCONSIN DEPARTMENT OF",210
UNIVERSITY OF ILLINOIS BOARD OF TRUSTEES,209
PA ST DEPARTMENT OF PUBLIC WELFARE,208
UNIVERSITY OF OREGON,206
MS ST DEPARTMENT OF HEALTH,206
MN ST DEPARTMENT OF HUMAN SERVICES,206
FLORIDA STATE UNIVERSITY,205
"Research Foundation For Mental Hygiene, Inc.",202
CHILDREN'S HOSPITAL OF PHILADELPHIA,202
Trustees Of Boston University,200
HEALTH & HUMAN SVC COMMN TX,197
ROCKEFELLER UNIVERSITY,193
CEDARS-SINAI MEDICAL CENTER,190
DEPARTMENT OF HUMAN SERVICES COLORADO,185
DREXEL UNIVERSITY,182
VA ST DEPARTMENT OF HEALTH,180
SAVE THE CHILDREN FEDERATION,179
DARTMOUTH COLLEGE,178
California Dept of Public Health,178
FLORIDA INTERNATIONAL UNIVERSITY,176
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,174
"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC",173
UNIVERSITY OF CALIFORNIA,173
